epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,450.198,0.49001,2.76431,1.01163,0.86165,0.90874,0.93798,0.91532,0.24665,0.66854,0.84437,9.25184e-05,9.25184e-05,9.25184e-05
1,404.739,0.49762,3.34422,1.00769,0.43826,0.66444,0.5435,0.52678,0.25543,1.59088,0.85896,9.20764e-05,9.20764e-05,9.20764e-05
2,807.891,0.40026,1.27504,0.96501,0.96015,0.96924,0.99177,0.97521,0.23278,0.46018,0.82822,0.000175598,0.000175598,0.000175598
3,1210.98,0.35498,0.73252,0.92904,0.98805,0.9895,0.99472,0.98252,0.21221,0.3264,0.81173,0.000249946,0.000249946,0.000249946
4,1613.42,0.32822,0.60277,0.90986,0.99903,0.99919,0.995,0.99082,0.17917,0.2232,0.79424,0.000236717,0.000236717,0.000236717
5,2016.87,0.30824,0.5223,0.90178,0.99927,0.99937,0.99499,0.99163,0.17945,0.20388,0.79214,0.000222956,0.000222956,0.000222956
6,2419.39,0.29169,0.46521,0.89227,0.9994,0.9996,0.995,0.99256,0.16695,0.18718,0.78912,0.000209195,0.000209195,0.000209195
7,2823.09,0.28038,0.43075,0.8872,0.99899,0.99894,0.995,0.99338,0.15814,0.18031,0.78534,0.000195434,0.000195434,0.000195434
8,3224.91,0.26824,0.39866,0.88185,0.99966,0.99986,0.995,0.99367,0.1478,0.16565,0.78263,0.000181673,0.000181673,0.000181673
9,3628.51,0.25766,0.37167,0.87726,0.99981,0.99987,0.995,0.9941,0.14094,0.14336,0.77775,0.000167912,0.000167912,0.000167912
10,4030.23,0.25183,0.35272,0.8742,0.9998,0.99997,0.995,0.99401,0.14737,0.14303,0.78153,0.000154151,0.000154151,0.000154151
11,4431.35,0.16261,0.21925,0.81237,0.99973,0.99995,0.995,0.9944,0.13992,0.13496,0.77648,0.00014039,0.00014039,0.00014039
12,4828.09,0.15351,0.19411,0.80738,0.99983,0.99998,0.995,0.99484,0.12329,0.12071,0.77059,0.000126629,0.000126629,0.000126629
13,5226.47,0.14374,0.17549,0.80214,0.99986,0.99991,0.99498,0.99488,0.117,0.11493,0.77085,0.000112868,0.000112868,0.000112868
14,5626.04,0.13942,0.16204,0.8012,0.99986,0.99992,0.995,0.99489,0.11223,0.10899,0.76812,9.9107e-05,9.9107e-05,9.9107e-05
15,6027.87,0.13384,0.15112,0.80048,0.99972,0.99997,0.995,0.99493,0.11032,0.10652,0.76879,8.5346e-05,8.5346e-05,8.5346e-05
16,6428.97,0.12949,0.14418,0.79992,0.99987,0.99997,0.995,0.99493,inf,0.10173,0.76852,7.1585e-05,7.1585e-05,7.1585e-05
17,6829.76,0.12532,0.13732,0.79652,0.99983,0.99988,0.995,0.99495,inf,0.09367,0.76511,5.7824e-05,5.7824e-05,5.7824e-05
18,7229.6,0.12202,0.13114,0.7944,0.99991,0.99999,0.995,0.99498,0.10101,0.09086,0.76512,4.4063e-05,4.4063e-05,4.4063e-05
19,7635.28,0.11697,0.12516,0.79482,0.99986,0.99998,0.995,0.99497,0.09811,0.08881,0.7646,3.0302e-05,3.0302e-05,3.0302e-05
20,8037.62,0.11392,0.12154,0.79296,0.9998,0.99997,0.995,0.99497,inf,0.08763,0.7637,1.6541e-05,1.6541e-05,1.6541e-05
