epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,484.21,0.53033,3.03198,1.04263,0.65008,0.81043,0.78694,0.76081,0.28674,1.10334,0.88151,9.25184e-05,9.25184e-05,9.25184e-05
2,958.471,0.42543,1.18997,0.97894,0.98766,0.99296,0.99465,0.97844,0.23488,0.36112,0.8258,0.000177852,0.000177852,0.000177852
3,1430.8,0.37901,0.78918,0.94497,0.99773,0.99854,0.995,0.98566,0.20245,0.28549,0.81158,0.000255846,0.000255846,0.000255846
4,1901.81,0.35145,0.6446,0.92647,0.99966,0.9999,0.995,0.98948,0.19201,0.23971,0.80318,0.000244974,0.000244974,0.000244974
5,2376.1,0.32966,0.56246,0.91508,0.99982,0.99989,0.995,0.98945,0.18543,0.21111,0.80008,0.000233965,0.000233965,0.000233965
6,2852.3,0.31585,0.50956,0.90786,0.99974,0.99984,0.995,0.99199,0.16739,0.19296,0.79207,0.000222956,0.000222956,0.000222956
7,3329.74,0.30353,0.46233,0.90154,0.99969,0.99987,0.995,0.99234,0.16849,0.18637,0.79103,0.000211947,0.000211947,0.000211947
8,3803.42,0.29227,0.42894,0.8971,0.99989,1,0.995,0.99238,0.164,0.16897,0.7891,0.000200938,0.000200938,0.000200938
9,4278.66,0.28399,0.40536,0.89152,0.99974,0.99966,0.995,0.99305,0.15737,0.16289,0.78742,0.00018993,0.00018993,0.00018993
10,4756.04,0.27817,0.38287,0.89051,0.99989,0.99999,0.995,0.99352,0.15147,0.15051,0.78515,0.000178921,0.000178921,0.000178921
11,5227.8,0.27049,0.36178,0.88562,0.99978,0.99983,0.995,0.99375,0.14636,0.14281,0.78279,0.000167912,0.000167912,0.000167912
12,5697.18,0.26491,0.34983,0.88222,0.99988,1,0.995,0.9941,0.14151,0.14042,0.78085,0.000156903,0.000156903,0.000156903
13,6166.39,0.25813,0.33445,0.88036,0.99992,1,0.995,0.99454,0.13823,0.13534,0.77884,0.000145894,0.000145894,0.000145894
14,6640.71,0.25094,0.31991,0.87496,0.9999,0.99993,0.995,0.99456,0.13596,0.12977,0.7781,0.000134886,0.000134886,0.000134886
15,7124.09,0.24919,0.31159,0.87657,0.99992,0.99998,0.995,0.99462,0.13265,0.12587,0.77701,0.000123877,0.000123877,0.000123877
16,7607.77,0.16586,0.17645,0.81567,0.99989,0.99998,0.995,0.99469,0.12831,0.12141,0.77501,0.000112868,0.000112868,0.000112868
17,8088.11,0.15805,0.16623,0.81081,0.99992,1,0.995,0.99482,0.12363,0.11481,0.77248,0.000101859,0.000101859,0.000101859
18,8565.86,0.15299,0.15696,0.80695,0.99992,1,0.995,0.99482,0.12009,0.11018,0.77153,9.08504e-05,9.08504e-05,9.08504e-05
19,9033.59,0.14845,0.15032,0.80515,0.99991,1,0.995,0.9949,0.11722,0.10733,0.77023,7.98416e-05,7.98416e-05,7.98416e-05
20,9498.65,0.14535,0.14584,0.80476,0.9999,0.99999,0.995,0.9949,0.11479,0.10494,0.76975,6.88328e-05,6.88328e-05,6.88328e-05
21,9964.37,0.14197,0.14079,0.80258,0.99991,1,0.995,0.99493,0.11284,0.10362,0.76904,5.7824e-05,5.7824e-05,5.7824e-05
22,10436.3,0.13824,0.13716,0.80183,0.9999,1,0.995,0.99495,0.1102,0.09987,0.76783,4.68152e-05,4.68152e-05,4.68152e-05
23,10902.8,0.13543,0.13204,0.79939,0.99991,1,0.995,0.99494,0.10877,0.09681,0.76734,3.58064e-05,3.58064e-05,3.58064e-05
24,11368.9,0.13208,0.12814,0.79846,0.99993,1,0.995,0.99495,inf,0.0955,0.76703,2.47976e-05,2.47976e-05,2.47976e-05
25,11835.8,0.12994,0.12463,0.79914,0.99992,1,0.995,0.99496,0.10621,0.09431,0.76661,1.37888e-05,1.37888e-05,1.37888e-05
